14:39:58 INFO  : Launching XSCT server: xsct.bat -n  -interactive D:\Zynq\vitis\version_2020\26_01_ov5640_lcd\vitis\temp_xsdb_launch_script.tcl
14:39:58 INFO  : Registering command handlers for Vitis TCF services
14:40:00 INFO  : XSCT server has started successfully.
14:40:00 INFO  : Platform repository initialization has completed.
14:40:00 INFO  : Successfully done setting XSCT server connection channel  
14:40:00 INFO  : plnx-install-location is set to ''
14:40:00 INFO  : Successfully done query RDI_DATADIR 
14:40:00 INFO  : Successfully done setting workspace for the tool. 
14:40:43 INFO  : Result from executing command 'getProjects': system_wrapper
14:40:43 INFO  : Result from executing command 'getPlatforms': 
14:40:43 WARN  : An unexpected exception occurred in the module 'platform project logging'
14:40:43 INFO  : Platform 'system_wrapper' is added to custom repositories.
14:40:48 INFO  : Platform 'system_wrapper' is added to custom repositories.
14:42:14 INFO  : Result from executing command 'getProjects': system_wrapper
14:42:14 INFO  : Result from executing command 'getPlatforms': system_wrapper|D:/Zynq/vitis/version_2020/26_01_ov5640_lcd/vitis/system_wrapper/export/system_wrapper/system_wrapper.xpfm
14:42:14 INFO  : Checking for BSP changes to sync application flags for project '26_01_ov5640_lcd'...
14:43:17 INFO  : Checking for BSP changes to sync application flags for project '26_01_ov5640_lcd'...
14:44:10 INFO  : Checking for BSP changes to sync application flags for project '26_01_ov5640_lcd'...
14:51:59 INFO  : Checking for BSP changes to sync application flags for project '26_01_ov5640_lcd'...
14:52:38 INFO  : Checking for BSP changes to sync application flags for project '26_01_ov5640_lcd'...
